Plant code,Region,Spend Category,Combined risk category,High risk site,Audit Status,Audit Request,Hypercare Level
XXX1049931,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1049949,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1049954,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1049974,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1050028,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1050035,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1050042,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1050064,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1050071,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1050081,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1050107,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1050116,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1050184,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1050187,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1050305,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1050329,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1050389,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1050499,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1050601,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1050670,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1050798,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1050817,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1050851,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1050873,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1050892,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1050960,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1051025,LA,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 1
XXX1051044,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1051057,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1051090,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1051112,MEU,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1051290,LA,Co-Packing,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1051322,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1051462,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1051476,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1051478,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1051552,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1051884,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 3
XXX1051925,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1051952,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052198,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1052217,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052223,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1052280,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052307,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1052327,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1052415,MEU,Raw materials,High,High Risk,No audit done,Request New Audit,No audit information
XXX1052434,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1052479,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1052492,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052497,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1052517,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052625,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052665,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1052681,MEU,Raw materials,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1052700,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1052726,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1052749,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052751,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1052771,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052785,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1052800,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1052841,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052843,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1052848,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052861,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1052864,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052865,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052881,No region classified,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1052952,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1052961,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1052976,AMEA,Packaging materials,High,High Risk,No audit done,Request New Audit,No audit information
XXX1052992,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1052993,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053067,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053071,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1053102,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1053145,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1053156,No region classified,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1053187,MEU,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1053188,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053203,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1053211,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1053234,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1053255,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1053296,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1053297,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053355,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1053364,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053393,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053470,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1053525,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1053534,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053569,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053595,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1053602,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1053620,LA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Hypercare
XXX1053667,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053670,LA,Packaging materials,High,High Risk,Audit past due,Request New Audit,Level 3
XXX1053686,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1053730,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1053782,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1053805,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1053811,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1053956,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054124,MEU,EM,High,High Risk,Audit compliant,Audit Compliant,Hypercare
XXX1054199,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054303,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054372,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1054555,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054661,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1054767,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054773,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054862,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054881,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1054912,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054919,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1054938,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054945,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1054974,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1054991,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055022,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1055054,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055068,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1055146,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1055182,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055326,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1055328,MEU,EM,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1055358,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1055362,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055374,AMEA,EM,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1055411,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055471,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055486,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055508,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055540,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055563,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055580,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1055613,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055621,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055631,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1055638,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1055639,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1055658,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1055667,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1055696,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1055734,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055749,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1055761,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055841,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1055903,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1055905,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1055996,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1056000,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1056001,No region classified,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1056016,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056037,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056039,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056049,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056108,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1056120,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056126,Not in Supplier DB,Not in Supplier DB,,Not applicable,Not applicable,Not applicable,No audit information
XXX1056185,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1056206,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056253,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1056309,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1056312,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056374,MEU,Raw materials,,Not applicable,Not applicable,Not applicable,No audit information
XXX1056392,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1056427,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1056456,LA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1056464,LA,Packaging materials,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1056604,MEU,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056605,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056659,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1056687,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1056702,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1056715,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1056903,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1057218,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1057628,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1057652,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1057661,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1057691,LA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1057700,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1057742,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1057744,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1057786,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1057808,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1057825,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1057850,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1057853,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1057860,AMEA,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1057894,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1057958,MEU,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1057998,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058025,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058108,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1058164,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1058211,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058235,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058257,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058286,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058306,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058320,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1058326,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058353,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1058423,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058425,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058441,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1058446,MEU,Packaging materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1058465,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1058479,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058484,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058544,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058564,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058569,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058584,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058591,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1058603,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1058647,MEU,Licensee,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1058668,LA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1058711,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058738,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1058744,MEU,Packaging materials,,Not applicable,Not applicable,Not applicable,Level 0
XXX1058772,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1058781,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1058795,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1058841,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1058872,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1058896,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1058939,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1058953,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1058969,MEU,EM,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1058993,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1059039,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1059104,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 0
XXX1059105,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1059139,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1059194,MEU,Raw materials,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1059290,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1059312,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1059358,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1059436,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1059456,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1059474,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1059476,LA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1059505,No region classified,EM,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1059522,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1059545,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1059697,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1059841,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1059973,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060022,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060319,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1060326,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060352,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1060370,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1060475,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1060479,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060506,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060567,MEU,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1060690,MEU,Raw materials,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1060703,No region classified,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1060705,Not in Supplier DB,Not in Supplier DB,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1060757,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060833,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1060839,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1060921,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060963,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1060977,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1060997,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1061013,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1061017,MEU,Packaging materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1061020,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1061033,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1061057,AMEA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 2
XXX1061067,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1061132,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1061158,LA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1061161,MEU,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 0
XXX1061175,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1061216,MEU,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1061226,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1061401,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1061403,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1061414,No region classified,Raw materials,Low,Not applicable,Not applicable,Not applicable,Level 2
XXX1061431,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1061463,Not in Supplier DB,Not in Supplier DB,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1061534,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1061554,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1061571,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1061619,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
